object-class,x,y,width,height
tag,0.4046875,0.2890625,0.1171875,0.2359375
tag,0.6015625,0.371875,0.2046875,0.2203125
tag,0.90625,0.471875,0.090625,0.3453125
tag,0.8625,0.4609375,0.1375,0.3921875
tag,0.209375,0.1421875,0.2171875,0.3
tag,0.696875,0.175,0.13125,0.15
tag,0.5078125,0.0515625,0.1765625,0.2390625
tag,0.2703125,0.46875,0.1765625,0.1921875
tag,0.4140625,0.1890625,0.0828125,0.0796875
tag,0.4140625,0.109375,0.4890625,0.7078125
tag,0.4484375,0.225,0.078125,0.078125
tag,0.4328125,0.315625,0.1515625,0.2015625
tag,0.75,0.14375,0.1671875,0.1984375
tag,0.1953125,0.4625,0.171875,0.228125
tag,0.459375,0.3875,0.2171875,0.190625
tag,0.30625,0.228125,0.128125,0.103125
tag,0.375,0.3640625,0.175,0.2140625
tag,0.471875,0.3296875,0.1984375,0.2296875
tag,0.6421875,0.2546875,0.1078125,0.09375
tag,0.38125,0.2859375,0.1078125,0.0984375
tag,0.0015625,0.228125,0.3140625,0.721875
tag,0.309375,0.33125,0.1890625,0.2
tag,0.2578125,0.1765625,0.121875,0.1390625
tag,0.8625,0.5703125,0.11875,0.1296875
tag,0.4296875,0.3359375,0.1203125,0.1109375
tag,0.375,0.2109375,0.2765625,0.2796875
tag,0.1984375,0.0796875,0.15,0.1640625
tag,0.3390625,0.1046875,0.08125,0.09375
tag,0.3515625,0.4875,0.2125,0.2828125
tag,0.325,0.3375,0.1015625,0.1078125
tag,0.309375,0.2703125,0.2078125,0.153125
tag,0.0421875,0.0265625,0.0765625,0.0765625
tag,0.5078125,0.353125,0.2953125,0.39375
tag,0.3359375,0.3328125,0.0953125,0.0984375
tag,0.546875,0.5234375,0.1765625,0.20625
tag,0.6484375,0.384375,0.196875,0.159375
tag,0.0171875,0.2765625,0.3375,0.4109375
tag,0.3296875,0.471875,0.2078125,0.303125
tag,0.471875,0.34375,0.14375,0.1796875
tag,0.4828125,0.4078125,0.2109375,0.2109375
tag,0.165625,0.49375,0.175,0.128125
tag,0.64375,0.328125,0.0859375,0.09375
tag,0.403125,0.48125,0.075,0.0625
tag,0.2484375,0.15,0.2234375,0.253125
tag,0.425,0.446875,0.178125,0.1984375
tag,0.390625,0.4234375,0.1890625,0.209375
tag,0.284375,0.3359375,0.0640625,0.075
tag,0.25416666666666665,0.2765625,0.7208333333333333,0.534375
tag,0.2015625,0.1953125,0.1890625,0.15
tag,0.2375,0.209375,0.3328125,0.4484375
tag,0.44375,0.2859375,0.0484375,0.0546875
tag,0.471875,0.1828125,0.1953125,0.21875
tag,0.384375,0.471875,0.1953125,0.2484375
tag,0.4078125,0.3515625,0.0859375,0.165625
tag,0.4390625,0.234375,0.0890625,0.084375
tag,0.36875,0.778125,0.1203125,0.1171875
tag,0.4828125,0.271875,0.0765625,0.071875
tag,0.4984375,0.296875,0.1765625,0.2171875
tag,0.75625,0.5859375,0.1625,0.1296875
tag,0.54375,0.1546875,0.2875,0.3421875
tag,0.5046875,0.2421875,0.1015625,0.0921875
tag,0.18125,0.1625,0.4609375,0.5203125
tag,0.70625,0.3,0.08541666666666667,0.071875
tag,0.1390625,0.18125,0.059375,0.0609375
tag,0.7390625,0.15,0.1859375,0.134375
tag,0.3125,0.6421875,0.13125,0.18125
tag,0.0890625,0.1453125,0.0796875,0.0921875
tag,0.384375,0.4671875,0.1375,0.1640625
tag,0.3640625,0.4390625,0.1734375,0.1765625
tag,0.396875,0.109375,0.125,0.115625
tag,0.2234375,0.4125,0.346875,0.4234375
tag,0.25,0.1109375,0.14375,0.15
tag,0.3125,0.3359375,0.1734375,0.1625
tag,0.21875,0.34375,0.1609375,0.1703125
tag,0.2375,0.309375,0.2234375,0.2640625
tag,0.6421875,0.0546875,0.0875,0.109375
tag,0.375,0.334375,0.2625,0.2640625
tag,0.275,0.5203125,0.7229166666666667,0.4796875
tag,0.546875,0.115625,0.175,0.146875
tag,0.0015625,0.39375,0.240625,0.3890625
tag,0.3328125,0.4328125,0.184375,0.2234375
tag,0.4171875,0.2578125,0.190625,0.215625
tag,0.23125,0.3015625,0.3359375,0.409375
tag,0.275,0.3640625,0.15,0.209375
tag,0.23333333333333334,0.309375,0.11041666666666666,0.0890625
tag,0.365625,0.3484375,0.115625,0.10625
tag,0.5015625,0.403125,0.228125,0.30625
tag,0.453125,0.0875,0.1875,0.215625
tag,0.3453125,0.2515625,0.1421875,0.1546875
tag,0.65,0.3171875,0.1,0.0765625
tag,0.4390625,0.184375,0.1734375,0.21875
tag,0.303125,0.546875,0.14375,0.115625
tag,0.4359375,0.378125,0.15,0.1625
tag,0.4296875,0.3359375,0.1046875,0.1109375
tag,0.29375,0.265625,0.2109375,0.1734375
tag,0.4546875,0.2375,0.0625,0.078125
tag,0.390625,0.378125,0.159375,0.1703125
